area,mean,min,max,perim,length,location
0.099,161.494,95.333,235.6,2.698,2.698,E
0.057,120.128,79.08,219.157,1.539,1.539,T
0.106,118.797,53.333,233.893,2.79,2.79,I
0.073,133.065,97.667,212.667,1.954,1.954,K
0.075,125.644,76.213,250.333,1.986,1.986,N
0.083,136.878,90.667,235.457,2.17,2.17,N
0.084,96.394,67.653,133.833,2.309,2.309,U
0.091,132.867,86.333,254.333,2.399,2.399,O
0.099,168.606,77.66,254.667,2.744,2.744,R
0.111,137.186,75.967,243.667,3.003,3.003,R
0.103,148.076,84.667,232.667,2.588,2.588,I
0.099,112.825,64.333,250.458,2.708,2.708,R
0.096,152.647,100.26,242,2.524,2.524,S
0.085,174.383,64.907,254.667,2.333,2.333,O
0.064,134.73,51,253.667,1.639,1.639,E
0.106,114.514,53.667,216.667,2.742,2.742,T
0.085,120.185,72.773,170,2.375,2.375,N
0.079,127.409,57.333,201.16,2.049,2.049,W
0.079,129.257,65.333,243,2.039,2.039,